hole_center_x (mm),hole_center_y (mm),hole_center_z (mm),wall_thickness (mm),hole_r (mm),body_l (mm),body_l_corrected (mm),body_inner_top (mm),body_inner_top_corrected (mm),body_outer_top (mm),body_inner_bottom (mm),body_outer_bottom (mm),guide_l (mm),guide_inner_top (mm),guide_outer_top (mm),guide_inner_bottom (mm),guide_outer_bottom (mm),box_inner_size_x (mm),box_inner_size_y (mm),box_inner_size_z (mm),box_outer_size_x (mm),box_outer_size_y (mm),box_outer_size_z (mm),z_axis_angle (deg),x_axis_angle (deg)
-170.499,95.57272,-23.9678,2.0,196.92259709347326,56.95612559608627,54.95612559608627,50.0,48.32502651819148,52.32502651819148,2.3,6.3,3.0,2.3,6.3,5.054751984232252,9.05475198423225,51.2,51.2,10.0,55.2,55.2,16.0,150.7273161658731,-6.939439297765327
-201.258,56.97774,-23.8485,2.0,210.52314925384712,61.542946761910066,59.542946761910066,50.0,48.44986298155219,52.44986298155219,2.3,6.3,3.0,2.3,6.3,4.849439184428327,8.849439184428327,51.2,51.2,10.0,55.2,55.2,16.0,164.19276058921545,-6.4630326599686585
-221.948,12.56229,-23.7509,2.0,223.56840359239965,65.90130345615948,63.90130345615948,50.0,48.55238068146157,52.55238068146157,2.3,6.3,3.0,2.3,6.3,4.680833030174842,8.680833030174842,51.2,51.2,10.0,55.2,55.2,16.0,176.76050668071247,-6.064100640667461
-230.423,-35.1111,-23.6806,2.0,234.28256249360516,69.45610195663185,67.45610195663185,50.0,48.626470571879096,52.626470571879096,2.3,6.3,3.0,2.3,6.3,4.558980789016461,8.558980789016461,51.2,51.2,10.0,55.2,55.2,16.0,-171.33610179308803,-5.771688376827613
-225.927,-82.9365,-23.6357,2.0,241.82662937679132,71.9476504412696,69.9476504412696,50.0,48.6740359217446,52.6740359217446,2.3,6.3,3.0,2.3,6.3,4.480752241910616,8.480752241910615,51.2,51.2,10.0,55.2,55.2,16.0,-159.84210479624005,-5.582256228202334
-209.229,-127.899,-23.6103,2.0,246.35822476241788,73.44019529902138,71.44019529902138,50.0,48.70098384663104,52.70098384663104,2.3,6.3,3.0,2.3,6.3,4.436432227081655,8.436432227081655,51.2,51.2,10.0,55.2,55.2,16.0,-148.56309106004403,-5.474351770646033
-182.273,-167.656,-23.5972,2.0,248.77461428538084,74.23489395049215,72.23489395049215,50.0,48.71489006149018,52.71489006149018,2.3,6.3,3.0,2.3,6.3,4.413561313964264,8.413561313964264,51.2,51.2,10.0,55.2,55.2,16.0,-137.39193042178604,-5.418506667954526
-147.473,-200.839,-23.5892,2.0,250.28192105431827,74.73021683628326,72.73021683628326,50.0,48.723407959473754,52.723407959473754,2.3,6.3,3.0,2.3,6.3,4.39955231822399,8.39955231822399,51.2,51.2,10.0,55.2,55.2,16.0,-126.28926755282242,-5.38425127421129
-107.125,-226.898,-23.5801,2.0,252.02081093633913,75.3012708385838,73.3012708385838,50.0,48.73308911074688,52.73308911074688,2.3,6.3,3.0,2.3,6.3,4.383630173205598,8.383630173205598,51.2,51.2,10.0,55.2,55.2,16.0,-115.27332874503642,-5.345266293992192
-63.1068,-245.785,-23.5656,2.0,254.8491160169091,76.22926480315779,74.22926480315779,50.0,48.748512133150626,52.748512133150626,2.3,6.3,3.0,2.3,6.3,4.35826463635919,8.358264636359191,51.2,51.2,10.0,55.2,55.2,16.0,-104.3999864336265,-5.283050421646945
277.002,70.37124,23.4255,2.0,286.75943484633177,86.63824389569706,84.63824389569706,50.0,48.8988696479715,52.8988696479715,2.3,6.3,3.0,2.3,6.3,4.110978534939955,8.110978534939955,51.2,51.2,10.0,55.2,55.2,16.0,14.254215271792646,4.670146511340987
242.8831,107.2608,23.5096,2.0,266.55164748020223,80.05883207988654,78.05883207988654,50.0,48.808376321243294,52.808376321243294,2.3,6.3,3.0,2.3,6.3,4.259808754684775,8.259808754684775,51.2,51.2,10.0,55.2,55.2,16.0,23.826968362455574,5.040390025897627
201.3326,136.87,23.62,2.0,244.59377981207945,72.8593981207766,70.8593981207766,50.0,48.69062876635546,52.69062876635546,2.3,6.3,3.0,2.3,6.3,4.453462752188978,8.453462752188978,51.2,51.2,10.0,55.2,55.2,16.0,34.20866325954427,5.51585126679082
155.0181,158.4473,23.7553,2.0,222.93602778149162,65.69083674943889,63.69083674943889,50.0,48.54774265756609,52.54774265756609,2.3,6.3,3.0,2.3,6.3,4.688460975135017,8.688460975135017,51.2,51.2,10.0,55.2,55.2,16.0,45.62677044979473,6.0822913658402085
106.2709,171.9591,23.9071,2.0,203.55585398123534,59.19930566960202,57.19930566960202,50.0,48.38849461288552,52.38849461288552,2.3,6.3,3.0,2.3,6.3,4.950368922832922,8.950368922832922,51.2,51.2,10.0,55.2,55.2,16.0,58.2838922870865,6.6985514989735675
