Descriptions,Total length,First rotation,Second rotation,Translation x,Translation y,Translation z,Pixel translation,Collimator translation,Collimator length,Collimator plus guide length,Guide exit edge length (air),Guide exit edge length (lead),Guide translation,d,d + 2t,Ld,Ld + 2t,Repeat vector,Pixel size,Crystal thickness,Crystal back face x,Crystal back face y,Crystal back face z,Crystal centroid x,Crystal centroid y,Crystal centroid z
14,326.09553297462196,8.663898206911982,-16.87633571999629,-23.503418083351697,154.2454695244566,-47.333905671091635,158.04776648731098,115.2862528252368,72.52302732414834,75.52302732414834,4.463450779553382,10.463450779553382,-36.26151366207417,2.3,6.3,50,54,25,2,10,-308.4909390489132,-47.006836166703394,-94.66781134218327,-303.76086905631195,-46.28608363541433,-93.21627641193399
15,335.71156704736325,20.157895203759942,-16.347495951258296,-55.50599851989647,151.2036766394127,-47.245067058712436,162.85578352368162,118.90420460341433,74.90315784053459,77.90315784053459,4.394704743076826,10.394704743076826,-37.451578920267295,2.3,6.3,50,54,25,2,10,-302.4073532788254,-111.01199703979294,-94.49013411742487,-297.90337750077066,-109.3586134817559,-93.08282285096362
16,341.49709368731715,31.43690893995597,-16.045193909560112,-85.58625579329164,140.00990401312455,-47.19412936734787,165.74854684365857,121.08221627022516,76.33266114686683,79.33266114686683,4.355476615679867,10.355476615679867,-38.16633057343341,2.3,6.3,50,54,25,2,10,-280.0198080262491,-171.17251158658328,-94.38825873469574,-275.91992235807646,-168.6663041436685,-93.00628125261034
17,344.58480385863885,42.60806957821397,-15.888444468241502,-112.18245548928714,121.96302374742827,-47.1676719942008,167.29240192931942,122.24497537014793,77.094853118343,80.094853118343,4.335155313924181,10.335155313924181,-38.5474265591715,2.3,6.3,50,54,25,2,10,-243.92604749485653,-224.36491097857427,-94.3353439884016,-240.3866278111765,-221.10932761468024,-92.966517752711
18,346.51179370847194,53.71073244717758,-15.79219074787153,-134.37992283376937,98.67311807001863,-47.15143586674755,168.25589685423597,122.97075848284237,77.57027674278719,80.57027674278719,4.322681967736942,10.322681967736942,-38.78513837139359,2.3,6.3,50,54,25,2,10,-197.34623614003726,-268.75984566753874,-94.3028717334951,-194.4986240280803,-264.88176921318217,-92.94212624884308
19,348.7356926146934,64.72667125496359,-15.682560708620471,-151.80790199734423,71.67282876651844,-47.13292197214744,169.3678463073467,123.80848549681059,78.11872162107223,81.11872162107223,4.308481408094072,10.308481408094071,-39.05936081053611,2.3,6.3,50,54,25,2,10,-143.34565753303687,-303.61580399468846,-94.26584394429489,-141.29043834313572,-299.2627106574638,-92.91430686419957
20,352.3547755453092,75.60001356637352,-15.507419857603267,-164.43036564395626,42.2185007165613,-47.10334397722601,171.1773877726546,125.17202749966486,79.0107205459795,82.0107205459795,4.285806469246077,10.285806469246076,-39.50536027298975,2.3,6.3,50,54,25,2,10,-84.4370014331226,-328.86073128791253,-94.20668795445202,-83.23881983756388,-324.19411749249906,-92.86987212999418
21,383.3976787420288,194.25421527179265,-4.68573802176256,47.043212511309875,-185.17598882807604,-15.65995958979392,186.6988393710144,136.87971742316586,86.63824389569706,89.63824389569706,4.110978534939956,10.110978534939957,-43.31912194784853,2.3,6.3,50,54,25,2,10,370.3519776561521,94.08642502261975,-31.31991917958784,365.52211041658876,92.85941674584396,-30.91146705642486
22,356.6104795600888,203.82696836245557,-5.0600077517283495,71.75030746872379,-162.47256317272283,-15.726351364773606,173.3052397800444,126.77582374010112,80.05883207988654,83.05883207988654,4.259808754684775,10.259808754684775,-40.02941603994327,2.3,6.3,50,54,25,2,10,324.94512634544566,143.50061493744758,-31.452702729547212,320.3891031076219,141.4886071143114,-31.011707518633234
23,327.4531779328561,214.20866325954427,-5.541590556185071,91.61826702646309,-134.768348856083,-15.810794674983985,158.72658896642804,115.79688990603974,72.8593981207766,75.8593981207766,4.453462752188978,10.453462752188978,-36.4296990603883,2.3,6.3,50,54,25,2,10,269.536697712166,183.23653405292617,-31.62158934996797,265.42104521775906,180.43862970504864,-31.13874796254292
24,298.6268645309305,225.62677044979472,-6.116855035191236,106.12152029273751,-103.82478240330767,-15.910328235382153,144.31343226546525,104.96801389074581,65.69083674943889,68.69083674943889,4.688460975135016,10.688460975135015,-32.84541837471944,2.3,6.3,50,54,25,2,10,207.64956480661533,212.24304058547503,-31.820656470764305,204.17282527862977,208.68939110188188,-31.287873585996948
25,272.75515965083736,238.2838922870865,-6.744805916224294,115.20850630568947,-71.1989749467245,-16.017188279659223,131.37757982541868,95.27792699061767,59.19930566960202,62.19930566960202,4.950368922832922,10.950368922832922,-29.59965283480101,2.3,6.3,50,54,25,2,10,142.397949893449,230.41701261137894,-32.034376559318446,139.78758772695988,226.19313261390528,-31.447139701905254
